coord_x,coord_y,garage,rooms,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist
-43.9474984,-19.83275555,1,0,0,"RUA OSÓRIO DUQUE ESTRADA,N. 454, PLANALTO, BELO HORIZONTE",157,Apartamento,2,0.14,0.07
-44.1862315,-19.95446555,1,0,58.11,"AVENIDA TAPAJOS,N. 2634, RIACHO DE AREIA, BETIM",136,Apartamento,18.2,13.12,13.14
-44.0917779,-19.9303547,1,3,107.79,"RUA CARLOS CHAGAS,N. 54, VILA BOA ESPERANCA, BETIM",148,Apartamento,8,5.72,5.72
-43.96405015,-19.9027163,0,0,267.36,"RUA UM, BUGRE, BUGRE",63,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA CASAL DA VINHA BAIRRO QUINTA DE CALDAS, CALDAS, CALDAS",93,Terreno,0.8,0.09,0.11
-42.5199479,-17.6992117,0,3,0,"RUA SANTA CECÍLIA,N. 696 BAIRRO MARIA LUCIA, CAPELINHA, CAPELINHA",255,Casa,276.51,275.36,275.23
-44.0803005,-19.8948297,1,2,119.62,"RUA SANTO LENHO,N. 705, ALVORADA, CONTAGEM",212,Apartamento,6.22,5.87,5.79
-44.039601,-19.9721895,2,0,118.89,"RUA TIRADENTES,N. 1928, INDUSTRIAL, CONTAGEM",501,Apartamento,2.68,0.68,0.61
-44.0457851,-19.9689409,1,0,66.93,"RUA VIA ARTERIAL,N. 615, PARQUE DAS MANGUEIRAS, CONTAGEM",145,Apartamento,3.38,0.56,0.59
-43.96405015,-19.9027163,0,0,0,"RUA SÃO PAULO,N. 187 (BAIRRO TAQUARIL), COROMANDEL, COROMANDEL",73,Casa,0.8,0.09,0.11
-44.0092629,-19.9069575,0,0,0,"RUA PORTO VELHO,N. S/N ZONA 29, VILA RICA, DIVINOPOLIS",49,Terreno,1.38,0.08,0.07
-43.96405015,-19.9027163,1,2,0,"RUA JEQUITIBA ROSA,N. 87 CS 02, ESMERALDAS, ESMERALDAS",148,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,2,0,"ALAMEDA D,N. 14A BAIRRO GRAMINHA, CRISTINA, CRISTINA",75,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,0,0,"RUA MANGABEIRAS,N. 184 CS 02, BAIRRO FLORESTA ENCANTADA, ESMERALDAS, ESMERALDAS",112,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,2,0,"RUA SANTA BARBARA,N. 283 CS 02, BAIRRO SANTA CECILIA, ESMERALDAS, ESMERALDAS",141,Casa,0.8,0.09,0.11
