coord_x,coord_y,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-43.96405015,-19.9027163,0,"AVENIDA BELO HORIZONTE,N. 1000, AMORAS, BETIM",146,1,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"LT 06 LOTEAMENTO CHÁCARAS ACURUÍ (RUA C CHÁCARAS, DISTRITO DE ACURUÍ), ACURUÍ, ITABIRITO",67,4,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,112.05,"Rua MDV-01/44,N. 201 Bl-05, MOINHO DOS VENTOS, GOIANIA",113,1,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA JULIETA GOMES,N. 779 CS 02, PORTO SEGURO, RIBEIRAO DAS NEVES",89,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,91.46,"AV. DOM JOAO VI,N. 456 BL. 02 (ATUAL N.PRÉDIO 760), CINQUENTENARIO, BELO HORIZONTE",139,1,0.09,0.09,0.11,5,Caiçaras
-44.71081585,-17.6321285,0,"RUA VINTE E NOVE,N. 226 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",75,3,250.22,250.18,250.18,6,
-43.3820526,-21.770423,62.26,"RUA JOSE LOURENCO,N. 393, SAO PEDRO, JUIZ DE FORA",115,1,204.25,204.24,204.29,6,
-43.96405015,-19.9027163,0,"RUA JOVIANO NAVES,N. 577 CS 01, BAIRRO SANTA CECILIA, ESMERALDAS, ESMERALDAS",113,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA GOVERNADOR VALADARES,N. 117 DISTRITO DE VARGEM GRANDE, SAO JOAO DO MANTENIN, SAO JOAO DO MANTENINHA",31,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA AMADOR CARNEIRO DE MELO,N. 125, PARQUE DAS MANGABEIRAS, ARAXA",75,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA MARECHAL DEODORO,N. 639 BAIRRO LAMEIRAO, VARZEA DA PALMA, VARZEA DA PALMA",89,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"ALBERTINA HORBYLON DA CUNHA,N. 144, MERCES, UBERABA",198,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,267.36,"RUA UM, BUGRE, BUGRE",63,4,0.09,0.09,0.11,5,Caiçaras
-44.3068993,-19.7733425,450,"AVENIDA VIOLETA PALHARES,N. (05) BAIRRO FERNÃO DIAS, CENTRO, ESMERALDAS",45,4,31.14,31.14,31.1,6,
-43.96405015,-19.9027163,255.95,"Via à partir da Al. Dos Araçaris Ch-06 Cs-01, FAZ. BARRO BRANCO, TRINDADE",68,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA DAS SIBIPIRUNAS DISTRITO ALMEIDA,N. S/N BAIRRO ESTANCIA DA MATA, JABOTICATUBAS, JABOTICATUBAS",215,4,0.09,0.09,0.11,5,Caiçaras
-44.7137909,-17.62739475,0,"RUA TRINTA,N. 392 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",66,3,250.81,250.78,250.78,6,
-43.96405015,-19.9027163,0,"RUA OLINTO HENRIQUES BAIRRO CAMPO, CONSELHEIRO PENA, CONSELHEIRO PENA",42,4,0.09,0.09,0.11,5,Caiçaras
-44.5977259,-19.8251926,51.11,"RUA CLÁUDIO ANTÔNIO NOGUEIRA,N. 61 CASA 01, PADRE LIBERIO, PARA DE MINAS",65,3,58.47,58.41,58.44,6,
-48.3215281,-18.9543053,46.46,"ALAMEDA PAULO CESAR SANTANA,N. 885, JARDIM HOLANDA, UBERLANDIA",57,1,461.23,461.18,461.21,6,
